Rep,Prediction,Confidence,Perfect %,Fatigue %,Posture %,Tempo,ROM
1,Elbow Sway,0.999,0.001,0.001,0.999,0.873,155.423
2,Elbow Sway,0.585,0.117,0.298,0.585,1.197,152.094
3,Elbow Sway,0.999,0.001,0.001,0.999,1.637,151.181
4,Elbow Sway,0.999,0.001,0.0,0.999,1.173,151.42
5,Fatigue,0.514,0.091,0.514,0.394,0.688,150.888

