Rep,Prediction,Confidence,Perfect %,Fatigue %,Posture %,Tempo,ROM
1,Elbow Sway,0.627,0.3,0.073,0.627,6.051,142.41
2,Elbow Sway,0.588,0.329,0.083,0.588,6.531,143.816
3,Elbow Sway,0.623,0.277,0.1,0.623,6.683,148.67
4,Elbow Sway,0.61,0.296,0.094,0.61,3.946,150.176
5,Elbow Sway,0.56,0.221,0.219,0.56,5.76,151.079
6,Elbow Sway,0.478,0.227,0.295,0.478,4.845,150.326
7,Elbow Sway,0.436,0.23,0.334,0.436,4.279,142.417
8,Elbow Sway,0.514,0.304,0.182,0.514,11.368,152.215
