Frame,Timestamp,Rep Duration,Left Shoulder X,Left Shoulder Y,Left Elbow X,Left Elbow Y,Left Wrist X,Left Wrist Y,Right Shoulder X,Right Shoulder Y,Right Elbow X,Right Elbow Y,Right Wrist X,Right Wrist Y,Left Elbow Angle,Right Elbow Angle,Left Shoulder Angle,Right Shoulder Angle,Torso Angle,Left Angular Velocity,Right Angular Velocity,Left Wrist Velocity,Right Wrist Velocity,Left Elbow Velocity,Right Elbow Velocity,Left Elbow Drift,Right Elbow Drift,Rep Tempo,Rep Min Angle,Rep Max Angle,Rep ROM
2044,173.55947089195251,0.0,0.6828269958496094,0.21352089941501617,0.8306289911270142,0.4996512830257416,0.8246310949325562,0.24550572037696838,0.3763733506202698,0.2750672996044159,0.23780998587608337,0.5793479681015015,0.1915581077337265,0.35232219099998474,25.9668844942245,35.99883348250784,30.309014004288052,31.474871222315656,177.89164194608847,-659.802562988872,-145.38631596054844,2.747573356202912,0.5258842234464368,1.230154187520729,0.31117429932434715,0.03841298919867633,0.009716777880456065,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2045,173.59150075912476,0.03202986717224121,0.677449107170105,0.21464714407920837,0.8280064463615417,0.5070453882217407,0.811793327331543,0.24319951236248016,0.3743668496608734,0.2749786674976349,0.23677417635917664,0.582103431224823,0.2039487659931183,0.3506071865558624,23.72780991980307,32.20305211695672,29.98640449743272,31.117192334318382,179.05395486035096,-69.90583390123864,-118.5075587463175,0.40722208327190007,0.3905349635345111,0.2449405960376335,0.09190542206913571,0.007845414756174993,0.0029437184612831828,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2046,173.62338185310364,0.06391096115112305,0.6773751974105835,0.22078093886375427,0.8257586359977722,0.5157909989356995,0.8002967834472656,0.25222641229629517,0.375754714012146,0.27532699704170227,0.23413236439228058,0.5803841352462769,0.21011729538440704,0.32672423124313354,21.183391604013167,30.311335960856557,29.505355315602678,31.777147321767266,178.87377869477717,-79.80963004203487,-59.336613647989715,0.4584835580579278,0.7737094744781589,0.2832355521566209,0.09886759723712471,0.009029859256465718,0.003152007158983011,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2047,173.65435576438904,0.09488487243652344,0.675288200378418,0.22067329287528992,0.8214349746704102,0.5132095813751221,0.7923535108566284,0.24230104684829712,0.3757660686969757,0.2711503803730011,0.23327311873435974,0.5799925327301025,0.21634480357170105,0.29660308361053467,20.418912537178105,28.186067646155863,29.21576612691728,31.5665831142787,179.3483488484267,-24.681386208896395,-68.61478665442047,0.41042706700107284,0.9930349367378964,0.16257712033534663,0.030486146216645266,0.005035649302302891,0.0009442751883481153,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2048,173.68450951576233,0.12503862380981445,0.6737316250801086,0.2220935821533203,0.8234183192253113,0.5146480798721313,0.787407398223877,0.2374529093503952,0.37278658151626587,0.27043476700782776,0.23152916133403778,0.5786344408988953,0.22349724173545837,0.2975233495235443,19.69479765110605,26.260059963899426,29.62965535152817,31.626054794905023,179.42462387128762,-24.01408956079166,-63.87290451570205,0.2296870826929845,0.239154256641585,0.08125318961250531,0.0733038070021661,0.0024500884778623573,0.002210384771059026,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2049,173.7165493965149,0.15707850456237793,0.6734308004379272,0.22578276693820953,0.8272045850753784,0.5160456299781799,0.7840049266815186,0.22719953954219818,0.3713659942150116,0.2685241103172302,0.2312065064907074,0.5781046152114868,0.22867301106452942,0.28553012013435364,19.407412843265842,24.85429621077188,30.433477674673682,31.451334223208274,179.3962302805308,-8.969596674207816,-43.87543649066394,0.33717873416361566,0.4076917198792311,0.12596669238591304,0.01936148751694205,0.0040359578028394995,0.0006203397512350695,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2050,173.74854230880737,0.1890714168548584,0.6731256246566772,0.23388148844242096,0.8291780352592468,0.5159680843353271,0.7772278189659119,0.22143855690956116,0.3714293837547302,0.26861125230789185,0.22967222332954407,0.5773158669471741,0.23527126014232635,0.27212464809417725,18.948542704636207,23.613557246508726,31.476811958933702,31.747189112126573,179.3546638187306,-14.342868646487261,-38.78168242141479,0.27802520928600905,0.4670202430529748,0.061731584011812536,0.05392293637278912,0.001974973152965808,0.001725151773927647,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2051,173.77957558631897,0.22010469436645508,0.6727468371391296,0.23318582773208618,0.8295191526412964,0.5168123841285706,0.7721351385116577,0.2175568789243698,0.3689258396625519,0.26337677240371704,0.22795657813549042,0.5770919919013977,0.24056926369667053,0.2723752558231354,18.076235904664525,21.826763027658274,31.425081214044592,31.48972719840439,179.37047992231723,-28.108755178878983,-57.5767164194228,0.20633799620148843,0.17091096488142216,0.029342887061003714,0.055752741474305756,0.0009106059571555678,0.0017301902982044363,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2052,173.81457805633545,0.25510716438293457,0.6729524731636047,0.23268817365169525,0.8301675915718079,0.5174658894538879,0.7664555907249451,0.2166074961423874,0.36642563343048096,0.26167726516723633,0.22668489813804626,0.5765096545219421,0.25048884749412537,0.2668150067329407,16.94471320516724,19.539140148444172,31.412030457026706,31.430471800688633,179.34463945916178,-32.32693861217662,-65.35604139185226,0.16451266583383475,0.32488146993987316,0.026301589059611656,0.03995927264236708,0.000920620582444822,0.0013986732425447829,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2053,173.85848903656006,0.29901814460754395,0.6730249524116516,0.22977836430072784,0.832639217376709,0.5190429091453552,0.7579396367073059,0.2086465060710907,0.36327630281448364,0.25689762830734253,0.22561363875865936,0.5759948492050171,0.26038607954978943,0.25614461302757263,15.358213024612894,17.131461713531113,31.374638527380863,31.01737836130341,179.3725057525807,-36.12991949711045,-54.83089702387707,0.26548178932811095,0.33143827915875684,0.06676874028627998,0.02706697511146668,0.0029318808343329196,0.0011885374088596076,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2054,173.90352272987366,0.3440518379211426,0.6735728979110718,0.22729316353797913,0.8319255113601685,0.5186635255813599,0.7513813376426697,0.20605874061584473,0.3631560206413269,0.25171878933906555,0.2251557558774948,0.5744649767875671,0.26303330063819885,0.2552572786808014,14.074699128005934,16.38351207139752,31.047648848071834,30.730420145070852,179.52372261361714,-28.501191045314133,-16.608667579741663,0.1565578246002889,0.0619975378141114,0.017948223861080064,0.03546064977213047,0.0008082748088836927,0.0015969240265390548,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2055,173.9495973587036,0.39012646675109863,0.6727696657180786,0.22702808678150177,0.8317291140556335,0.518311083316803,0.7448742389678955,0.20204749703407288,0.3574778437614441,0.24962292611598969,0.2243771255016327,0.5736206769943237,0.26830941438674927,0.2566815912723541,13.265814324100827,14.441501007387615,31.0901712800003,30.2885522317776,179.50240869935365,-17.555970052203637,-42.14925032119366,0.16590712883787534,0.11861155379778908,0.008756864228847226,0.024927471796007395,0.00040346926905845525,0.0011485240106702387,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2056,173.99475765228271,0.4352867603302002,0.6728038191795349,0.2225039303302765,0.8312548398971558,0.5179089903831482,0.7393817901611328,0.20304948091506958,0.35798436403274536,0.24364767968654633,0.2246500700712204,0.5692915320396423,0.2737649977207184,0.2604382038116455,11.94171879280616,13.230844511466508,30.656771206998087,30.106575183619746,179.50657454458005,-29.319905305208355,-26.80798551055815,0.12362843493100488,0.14667443293181207,0.013768366804393969,0.09605209359588487,0.000621783486991188,0.004337740745677502,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2057,174.02494978904724,0.46547889709472656,0.6727443933486938,0.22317881882190704,0.8309666514396667,0.51700359582901,0.7290471196174622,0.20038431882858276,0.3579345941543579,0.2445162683725357,0.22422118484973907,0.5656784176826477,0.27848291397094727,0.26439163088798523,10.458771592810317,12.394511283224558,30.767077522357496,30.40017737008103,179.36120995159126,-49.11700061382213,-27.700365653635423,0.3534957724753853,0.2038725808666603,0.031470234089098034,0.12051085322206855,0.0009501536116297076,0.0036384801620904564,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2058,174.05692982673645,0.49745893478393555,0.6727504730224609,0.22318580746650696,0.8309050798416138,0.5167816877365112,0.7248417735099792,0.20241722464561462,0.3579629063606262,0.24514199793338776,0.22401349246501923,0.5646117329597473,0.2882985472679138,0.26205265522003174,9.666654647583652,10.752342493699825,30.805307525201048,30.460487859194018,179.29440521069043,-24.76910605686837,-51.349807823361324,0.14605786021878514,0.31552383148764845,0.007201107572219992,0.0339810840836664,0.00023029169156364354,0.001086716349715831,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2059,174.0875599384308,0.5280890464782715,0.6727660894393921,0.22386696934700012,0.8315935134887695,0.5166689157485962,0.7222710847854614,0.2031242698431015,0.3575836718082428,0.24493615329265594,0.22293853759765625,0.5625626444816589,0.2905127704143524,0.2624671757221222,9.255227241692822,10.282617453361416,30.942060722526985,30.674263035783493,179.31346109997585,-13.432122285303661,-15.33540083124376,0.08704341589936475,0.0735449427815756,0.022775270038919833,0.07554442633143066,0.0006976090651607772,0.002313934216416254,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2060,174.11773705482483,0.5582661628723145,0.6727507710456848,0.2259383499622345,0.8330817222595215,0.5165836215019226,0.7195731401443481,0.20412351191043854,0.3577238917350769,0.24527399241924286,0.22118394076824188,0.5614932179450989,0.2940428555011749,0.26300498843193054,8.918035378113547,9.636879907978654,31.349624727360908,31.01040982609691,179.3022766781346,-11.173760248538425,-21.398252137511445,0.09533864405956782,0.11832867790580973,0.04939673484126509,0.06809197627348607,0.0014906510167905342,0.0020548194935054013,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2061,174.14906334877014,0.589592456817627,0.6728779077529907,0.22946542501449585,0.8361522555351257,0.5157331824302673,0.718920111656189,0.20426492393016815,0.3580380082130432,0.24552865326404572,0.22031059861183167,0.5590888261795044,0.2959558069705963,0.26379382610321045,9.072894136990906,9.344501664783666,32.157908935981766,31.343097050744785,179.3488921456086,4.943411408566268,-9.333317362896633,0.021329185205157912,0.06605359684836262,0.10170783396104098,0.08165952740624904,0.003186129503204607,0.0025580903589634595,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
2062,174.1793167591095,0.6198458671569824,0.6724334359169006,0.232585608959198,0.8400418162345886,0.5141523480415344,0.721207320690155,0.20476023852825165,0.357722669839859,0.24607709050178528,0.2177717387676239,0.557852029800415,0.295911967754364,0.2625989615917206,9.752795258833363,9.350811035871546,33.13706714094337,31.852083479270565,179.46937665731465,22.473536510956603,0.20855073914337222,0.07735415033129989,0.039521774615818676,0.1387789928388622,0.09334776623652238,0.004198537816836572,0.0028240882762157436,1.3129069805145264,8.918035378113547,170.22093218661558,161.30289680850203
