Frame,Timestamp,Rep Duration,Left Shoulder X,Left Shoulder Y,Left Elbow X,Left Elbow Y,Left Wrist X,Left Wrist Y,Right Shoulder X,Right Shoulder Y,Right Elbow X,Right Elbow Y,Right Wrist X,Right Wrist Y,Left Elbow Angle,Right Elbow Angle,Left Shoulder Angle,Right Shoulder Angle,Torso Angle,Left Angular Velocity,Right Angular Velocity,Left Wrist Velocity,Right Wrist Velocity,Left Elbow Velocity,Right Elbow Velocity,Left Elbow Drift,Right Elbow Drift,Rep Tempo,Rep Min Angle,Rep Max Angle,Rep ROM
0,10.89011812210083,0.0,0.5753952860832214,0.14545601606369019,0.6459499597549438,0.5148435235023499,0.7352081537246704,0.3444410264492035,0.24970412254333496,0.1746644377708435,0.1842375099658966,0.566469132900238,0.1677239090204239,0.378391832113266,38.45941237428096,14.503742848401881,18.808662608576736,21.727598683841205,173.9189855929377,-306.2442750800914,-293.4579126714771,0.8732018223709095,0.876458500433448,0.16034502335073583,0.8681178356943289,0.004970679514678175,0.026911565148945743,1.172877311706543,5.090899930331525,156.51117451169148,151.42027458135996
1,10.921118259429932,0.031000137329101562,0.5715981721878052,0.1440812647342682,0.6462827920913696,0.51487135887146,0.7257804870605469,0.32024386525154114,0.2449992597103119,0.17879052460193634,0.18049874901771545,0.5694189071655273,0.17503704130649567,0.36088618636131287,33.60624189470913,10.876369653676482,18.894688581466447,22.0693670213192,173.68330582571141,-156.55319291169357,-117.0115201818858,0.837702580091139,0.6119911278566462,0.010773960959674651,0.15362190130287154,0.00033399426932829307,0.004762300037146704,1.172877311706543,5.090899930331525,156.51117451169148,151.42027458135996
2,10.953118085861206,0.06299996376037598,0.5688201189041138,0.14251254498958588,0.6448706388473511,0.5165061354637146,0.7144593000411987,0.30352532863616943,0.23609678447246552,0.17904694378376007,0.1790095716714859,0.5741854310035706,0.17962002754211426,0.35316404700279236,29.588331839430293,8.06261529520147,18.281375156857298,20.755928872407814,174.30242356868504,-125.560370269759,-87.93030063828859,0.6309739221780836,0.28061747249386015,0.06750811522288838,0.15605509466120263,0.002160247969834902,0.004993735942874582,1.172877311706543,5.090899930331525,156.51117451169148,151.42027458135996
3,10.984154224395752,0.09403610229492188,0.5718267560005188,0.14275392889976501,0.645736813545227,0.5179423689842224,0.6921103000640869,0.2931985557079315,0.23479995131492615,0.17844121158123016,0.1784212589263916,0.5770801305770874,0.18107037246227264,0.348849892616272,22.803007211597926,7.384824801829924,18.014170200609087,19.633885498385048,174.33107900826857,-218.62657367248556,-21.838750739467994,0.7932528471404567,0.1466490582546961,0.05404047278261102,0.09517544782920916,0.0016772075997534726,0.002953878383914781,1.172877311706543,5.090899930331525,156.51117451169148,151.42027458135996
4,11.018154859542847,0.1280367374420166,0.5812509655952454,0.1437881737947464,0.6466721296310425,0.521003246307373,0.6761590838432312,0.2983101010322571,0.23761621117591858,0.17763257026672363,0.17641231417655945,0.5766266584396362,0.18369950354099274,0.33082905411720276,17.381749318591794,7.022779870939435,17.368385024377975,19.64185964830368,173.5865570722898,-159.44578298471478,-10.648181403794307,0.4926437333588985,0.5356257532240096,0.09413328663398818,0.060572081818048684,0.0032005915340391207,0.0020594892539954435,1.172877311706543,5.090899930331525,156.51117451169148,151.42027458135996
5,11.054120779037476,0.1640026569366455,0.5836843252182007,0.14396695792675018,0.6448796987533569,0.5191446542739868,0.6459208130836487,0.29683631658554077,0.2400224655866623,0.17415498197078705,0.175499826669693,0.5758861303329468,0.20486214756965637,0.32979094982147217,9.532280573593928,2.3204758363342615,17.037349050427945,19.964233185341836,172.78823670461844,-218.24740908320427,-130.74332870336897,0.8417458890100833,0.5891157633359199,0.07179260098935374,0.03267443461376447,0.002582086907493112,0.0011751660848511691,1.172877311706543,5.090899930331525,156.51117451169148,151.42027458135996
6,11.095121622085571,0.2050034999847412,0.5836566686630249,0.14401811361312866,0.6431571841239929,0.5209689736366272,0.6355438232421875,0.2931155860424042,0.2415006458759308,0.17319343984127045,0.17709222435951233,0.5749775171279907,0.21384719014167786,0.3318999111652374,7.056215102316258,0.5090024528597585,16.524778214151763,19.739366362789518,173.01931442929893,-60.39059900239471,-44.18136918183777,0.26886939837641205,0.22509857073321937,0.06119443130036675,0.04471583975011156,0.0025090232731638123,0.0018333871273581233,1.172877311706543,5.090899930331525,156.51117451169148,151.42027458135996
7,11.12712025642395,0.23700213432312012,0.5814403891563416,0.14412550628185272,0.6421264410018921,0.5217008590698242,0.6311737298965454,0.2915535569190979,0.24237759411334991,0.1728871911764145,0.1776702105998993,0.5741465091705322,0.2175411880016327,0.3351282775402069,6.406161674237524,0.3096968949457358,16.44685127129784,19.70908335516508,173.14107788659692,-20.31503661076764,-6.228564500797374,0.1450332978699439,0.1533162837951612,0.03950652738237653,0.031634043022236706,0.0012641549236878202,0.0010122461753130992,1.172877311706543,5.090899930331525,156.51117451169148,151.42027458135996
8,11.159121990203857,0.26900386810302734,0.5844107866287231,0.14452406764030457,0.6411325335502625,0.5257656574249268,0.6322032809257507,0.2940663993358612,0.2427401840686798,0.17186225950717926,0.17785611748695374,0.5741785764694214,0.21685084700584412,0.32794469594955444,6.255503171112885,0.16267020181873917,15.017201877010939,18.45287185525413,174.98861228285952,-4.707823149857963,-4.594335236277404,0.08485714848261511,0.22550891256998562,0.13076002438056927,0.005895064315563919,0.004184547489281157,0.00018865227884210753,1.172877311706543,5.090899930331525,156.51117451169148,151.42027458135996
9,11.19111943244934,0.30100131034851074,0.5849407315254211,0.14401815831661224,0.6389914155006409,0.5293155908584595,0.6276416778564453,0.29018720984458923,0.24331264197826385,0.17122036218643188,0.1782737672328949,0.5743162631988525,0.21968504786491394,0.32053908705711365,5.268126152812877,0.10223387435425883,14.398632822270269,18.21893924886884,175.09876400135144,-30.857998296391376,-1.888786203622611,0.18714045302867258,0.24781425376987576,0.12956191822031546,0.013743601655623739,0.004145649995468587,0.0004397601002207506,1.172877311706543,5.090899930331525,156.51117451169148,151.42027458135996
