Frame,l_shouler_x,l_shoulder_y,l_elbow_x,l_elbow_y,l_wrist_x,l_wrist_y,l_bicep_angle,r_shouler_x,r_shoulder_y,r_elbow_x,r_elbow_y,r_wrist_x,r_wrist_y,r_bicep_angle
1,0.9196203947067261,0.721579909324646,1.1969761848449707,1.0150344371795654,1.147828459739685,1.2556003332138062,125.06884498307983,0.501660943031311,0.7674795389175415,0.4713110327720642,1.0746556520462036,0.4450867772102356,1.4341758489608765,178.52922244392633
1,0.9221391677856445,0.7304494976997375,1.2214372158050537,1.0141453742980957,1.2488653659820557,1.2077274322509766,141.53142172939516,0.5016614198684692,0.7912576794624329,0.47309765219688416,1.1016000509262085,0.44484925270080566,1.4766508340835571,179.04865922148483
1,0.9153784513473511,0.7296318411827087,1.2202684879302979,1.0107585191726685,1.2278718948364258,1.2095592021942139,134.86817986469956,0.47504615783691406,0.7927760481834412,0.4726101756095886,1.1095727682113647,0.43874019384384155,1.476880669593811,175.17213618476023
1,0.9127812385559082,0.7295637726783752,1.2200870513916016,1.0107914209365845,1.1993510723114014,1.2135566473007202,126.62375140453119,0.4669908583164215,0.7932090163230896,0.4725894331932068,1.1094709634780884,0.4363406300544739,1.4757850170135498,173.3345007533328
1,0.8990200161933899,0.7021805047988892,1.1742421388626099,1.0023120641708374,1.1074683666229248,1.243958830833435,122.03205543944082,0.4508257508277893,0.7919577956199646,0.4448719620704651,1.1587543487548828,0.41492190957069397,1.506332516670227,176.005047714072
1,0.8894009590148926,0.6438204646110535,1.1570775508880615,0.9857796430587769,1.23790442943573,1.2726600170135498,157.68197491652796,0.43163156509399414,0.7428505420684814,0.4158790111541748,1.1667206287384033,0.37716934084892273,1.4985730648040771,175.47501320909566
1,0.8846737146377563,0.6258917450904846,1.1494916677474976,0.9739589095115662,1.241636037826538,1.2836188077926636,159.30647588943225,0.4329284727573395,0.7244791388511658,0.4199395179748535,1.1573758125305176,0.3744122385978699,1.4948809146881104,174.03616897016644
1,0.8805863261222839,0.5510944128036499,1.1486179828643799,0.9565292000770569,1.270365595817566,1.2905750274658203,166.55640267899008,0.4338351786136627,0.6684791445732117,0.4219428598880768,1.1234010457992554,0.37600427865982056,1.4365520477294922,173.1518127072566
1,0.8611895442008972,0.4379752278327942,1.1327850818634033,0.9273888468742371,1.252030611038208,1.289472222328186,169.20067483946488,0.42492181062698364,0.5904191136360168,0.4311128258705139,1.1022040843963623,0.39450541138648987,1.4386711120605469,173.09760871361817
1,0.8613840341567993,0.4367692172527313,1.118990182876587,0.8955432176589966,1.2476552724838257,1.2854756116867065,168.94657792666712,0.42996352910995483,0.5335979461669922,0.43965691328048706,0.9928576350212097,0.3971240818500519,1.349479079246521,171.98954911339683
1,0.8641558885574341,0.4158095419406891,1.117297887802124,0.8760182857513428,1.2457630634307861,1.2627379894256592,169.56267965189315,0.43296509981155396,0.5144959092140198,0.45045924186706543,1.000836968421936,0.4008088707923889,1.3610384464263916,170.09167967999096
1,0.8663346171379089,0.3525485694408417,1.1151043176651,0.857163667678833,1.2378872632980347,1.2495425939559937,171.13311868802685,0.43955665826797485,0.4748426079750061,0.46949607133865356,0.9306222796440125,0.4111420512199402,1.354049563407898,168.39502645453064
1,0.8668003082275391,0.2778923213481903,1.1203563213348389,0.7643355131149292,1.2361408472061157,1.1323131322860718,169.9356874031794,0.47387662529945374,0.40255501866340637,0.5412642955780029,0.9451946020126343,0.44945502281188965,1.3374383449554443,159.7473702628509
1,0.8635942339897156,0.2615886628627777,1.1239478588104248,0.662976861000061,1.2547961473464966,1.009122371673584,167.7385854506342,0.4864806532859802,0.3712187707424164,0.56763756275177,0.8608431220054626,0.46835628151893616,1.1993283033370972,154.24162585835052
1,0.9120743870735168,0.2129151076078415,1.1856483221054077,0.6799980401992798,1.2324594259262085,0.9806457757949829,158.49211951949255,0.5253848433494568,0.3230957090854645,0.5450787544250488,0.8306341171264648,0.5318649411201477,1.2169538736343384,175.81887741932198
1,0.9362869262695312,0.14699023962020874,1.2287706136703491,0.5452476143836975,1.167323350906372,0.6596277356147766,115.46054408404305,0.5238140821456909,0.13853338360786438,0.5350267291069031,0.6560783386230469,0.5082458853721619,1.0921275615692139,175.2443556915243
1,0.9586483240127563,0.11549777537584305,1.2236762046813965,0.5841890573501587,1.1489362716674805,0.7201635241508484,121.71751649157727,0.5222108364105225,0.14601244032382965,0.4937899708747864,0.6025311946868896,0.496584415435791,1.0768600702285767,176.1000659190117
1,1.064046859741211,0.09635216742753983,1.2178802490234375,0.48556622862815857,1.1171371936798096,0.7041453719139099,133.68907146830085,0.5176243185997009,0.17106065154075623,0.4975009560585022,0.6269459128379822,0.4942514896392822,1.060854196548462,177.90160167375612
1,0.978391170501709,0.11669612675905228,1.0338656902313232,0.4958663582801819,1.1229921579360962,0.8137592077255249,172.66189718336008,0.5232185125350952,0.20535434782505035,0.45619863271713257,0.6611620187759399,0.4139527678489685,1.0889071226119995,177.27589996188138
1,0.5365650057792664,0.24689191579818726,0.5415683388710022,0.7424269914627075,0.49541759490966797,0.9627076387405396,167.58868999929405,0.7594671845436096,0.21134024858474731,0.7465755939483643,0.6370484828948975,0.7670388221740723,0.8101112246513367,171.52202144324963
1,0.5601645708084106,0.2481667846441269,0.6387206315994263,0.7374623417854309,0.610977292060852,0.9674385190010071,164.00036136039378,0.7228659391403198,0.21277107298374176,0.6918964982032776,0.6512757539749146,0.6928504705429077,0.9092620015144348,175.74832182250535
1,0.5551081895828247,0.24782371520996094,0.6151549220085144,0.7308664321899414,0.5505403280258179,0.9692842364311218,157.7502301346887,0.7617066502571106,0.1860387623310089,0.7359487414360046,0.6232792139053345,0.7340511083602905,0.8722172975540161,177.06534462510686
1,0.4881717562675476,0.2395208328962326,0.3831789195537567,0.7268202900886536,0.33555084466934204,0.8682664036750793,173.54945813379717,0.8028197288513184,0.16395901143550873,0.9498919248580933,0.6666206121444702,0.9208232760429382,0.9187506437301636,157.1144916100651
1,0.4550865590572357,0.23959551751613617,0.5025016069412231,0.7399227023124695,0.5519944429397583,0.9160700440406799,169.71965697370393,0.7503430247306824,0.18822340667247772,0.8019366264343262,0.734624981880188,0.7861098051071167,0.9269941449165344,169.9025652242305
1,0.42178159952163696,0.2392391860485077,0.29088693857192993,0.6323850750923157,0.3981390595436096,0.724836528301239,112.3466251479255,0.7839065790176392,0.18657760322093964,0.8804612159729004,0.7333352565765381,0.8160689473152161,0.9360483288764954,152.36254177458443
1,0.4058888554573059,0.23975974321365356,0.35787296295166016,0.6160764694213867,0.4475717544555664,0.7835607528686523,144.55670901628613,0.7807310819625854,0.18661533296108246,0.8767447471618652,0.7107259035110474,0.8249214887619019,0.9452735781669617,157.1595774793621
1,0.37353071570396423,0.2523110806941986,0.19145938754081726,0.6271060109138489,0.2996436357498169,0.5571118593215942,31.187546736910633,0.7566657662391663,0.19292841851711273,0.8449034690856934,0.7331802845001221,0.779385507106781,0.939354658126831,153.09477375676155
1,0.5978071093559265,0.25208523869514465,0.6680673360824585,0.6428899168968201,0.6268199682235718,0.8235763311386108,156.94882851962188,0.38535162806510925,0.23264804482460022,0.19543257355690002,0.6119226813316345,0.3076947033405304,0.49730637669563293,17.806409220410906
1,0.6503498554229736,0.24608178436756134,0.7488866448402405,0.6446725726127625,0.7073831558227539,0.9457821249961853,158.26622611591574,0.3482365012168884,0.2400016039609909,0.15475349128246307,0.5650240182876587,0.2825167775154114,0.3544619381427765,0.4832562155061998
1,0.6681296825408936,0.24544557929039001,0.7545055150985718,0.7002468705177307,0.7250151038169861,1.0010132789611816,163.64645908221965,0.34893399477005005,0.24346505105495453,0.19681662321090698,0.5960471034049988,0.26869577169418335,0.47257769107818604,6.869106885887994
1,0.6587844491004944,0.2456962913274765,0.7338107228279114,0.6977360844612122,0.7031270861625671,0.9817010760307312,164.40924041821785,0.3180842995643616,0.2449844926595688,0.14559881389141083,0.5787521600723267,0.2210288941860199,0.43490225076675415,0.3418573125895893
1,0.6481376886367798,0.24573002755641937,0.7231594324111938,0.6891170740127563,0.6917751431465149,0.9749841690063477,164.13122715880854,0.2961989939212799,0.25142762064933777,0.1329968273639679,0.5800333619117737,0.24573151767253876,0.3574778437614441,0.4530180444798636
1,0.6090784072875977,0.27971628308296204,0.6624158620834351,0.6902560591697693,0.6185914874076843,0.834784209728241,155.7290257312797,0.28004807233810425,0.27586284279823303,0.10823176056146622,0.5214393138885498,0.25646692514419556,0.2501327395439148,6.32726594036169
1,0.5336881875991821,0.2952650785446167,0.5590940713882446,0.6482002139091492,0.5395441055297852,0.7725095152854919,166.9450617339055,0.2615028917789459,0.2898644208908081,0.11519736051559448,0.494168221950531,0.18628033995628357,0.36085766553878784,7.539976415903054
1,0.4969889223575592,0.28446662425994873,0.5606570243835449,0.6442129611968994,0.5423641800880432,0.735474169254303,158.6292456580533,0.2796913981437683,0.28627195954322815,0.09333676844835281,0.522280752658844,0.20446857810020447,0.35513561964035034,4.675710803997085
1,0.47607749700546265,0.26381269097328186,0.5568016767501831,0.6253593564033508,0.5382847189903259,0.7248820662498474,156.87394844643367,0.28759530186653137,0.2851066589355469,0.10431037098169327,0.5332000255584717,0.2198285162448883,0.3442044258117676,5.021861330455075
1,0.36058443784713745,0.2512064278125763,0.32305648922920227,0.5299148559570312,0.34140023589134216,0.4930083155632019,18.760141651166553,0.3305284082889557,0.28479576110839844,0.1481582224369049,0.5368062853813171,0.3092089295387268,0.4944849908351898,39.384766225389676
1,0.2732861638069153,0.2508457601070404,0.07842279225587845,0.5268591642379761,0.18421058356761932,0.3386501371860504,5.882502766272553,0.44724759459495544,0.32554447650909424,0.4310581684112549,0.6420962810516357,0.4139655530452728,0.5468528270721436,13.101863714611287
1,0.33784908056259155,0.25084131956100464,0.30051010847091675,0.5348573923110962,0.3094407320022583,0.5025891661643982,7.980475495854857,0.38232848048210144,0.31877297163009644,0.15169434249401093,0.5717840790748596,0.24136455357074738,0.34563568234443665,20.72212178848913
1,0.3034213185310364,0.250745952129364,0.2576054036617279,0.5414141416549683,0.2355181872844696,0.41533979773521423,18.894339500681305,0.42669105529785156,0.328163743019104,0.2850068211555481,0.6368029713630676,0.3603762984275818,0.6238682270050049,55.60387904834161
